"258285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"MONIKA"
"259285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV BINTANG ABADI"
"260285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV.BANGUN INDAH"
"261285";"Jasa Konsultansi Badan Usaha";"Pemerintah Kabupaten Bantul";"CV. Madani Callysta Saibuyun"
"262285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"NAGA BERLIAN"
"264285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. SEKAR WIJAYA"
"265285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"PB PASIFIX"
"266285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"PT. FASASTI SURYA MANDIRI"
"267285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV.Sasmita"
"268285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. KARTIKA BUANA"
"269285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. HATI SAMUDRA"
"270285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. GSAANEMER"
"272285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"Firli Abdi"
"273285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. JAYA MAKMUR"
"274285";"Jasa Lainnya";"Pemerintah Kabupaten Bantul";"CV Fahrenheit"
"275285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. JAYA MAKMUR"
"276285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"PT. SARANA PERSADA JAYA RAYA"
"277285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. KARTIKA BUANA"
"278285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV.Sasmita"
"279285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. GSAANEMER"
"280285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV ATNAWIJAYA"
"281285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. HATI SAMUDRA"
"282285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. MULYO"
"283285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. SEKAR ALAM"
"284285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV ATNAWIJAYA"
"285285";"Pekerjaan Konstruksi";"Pemerintah Kabupaten Bantul";"CV. Tanjung"
